hjd,phase,target flux,comp flux,check flux,mag
2459959.6956044,0.1613773065357691,322972.09165039065,672905.0567382813,133026.89571044926,10.707972241331445
2459959.6966595,0.16199224571732884,306542.05737304693,644436.7738671877,127397.31894042969,10.717725869232272
2459959.6977066,0.1626025225309604,305159.2813378907,635028.6719335937,126491.08985595706,10.70666712915162
2459963.7102574,0.501219432350581,220656.16819335945,469972.3624023438,98850.00627197266,10.73189086934394
2459963.7112929,0.5018229483368941,249617.6193457031,532202.6890429689,112991.17356445313,10.733004820890727
2459963.712327,0.5024256482254259,232299.32182617186,508329.8453906251,105623.56876708982,10.76124441953369
2459966.4818023,0.11654646338638486,74887.78893524173,146019.6305786133,29620.891427307128,10.63600084464679
2459966.4833183,0.11743002678122139,74342.80106262205,145980.5180712891,29247.972579345696,10.643640202572694
2459966.4848448,0.1183197099580866,73918.01522186276,145025.66913391114,29138.50827178955,10.64273670387102
2459966.6714716,0.227090567149844,338962.40676757816,596841.249296875,128598.68920654296,10.52526849199351
2459966.6724999,0.22768988676057234,331358.51796874986,580295.9770898438,125571.65673828124,10.51937880349576
2459966.6735385,0.22829520918025992,351895.28880859376,652845.5192382812,135014.7641699219,10.58199268974393
2459967.6972653,0.824949289100914,303805.5662597657,580635.7359960938,123532.60783691405,10.614270339016956
2459967.6983593,0.8255869001632163,318182.59905273444,625410.2186132814,129828.56937011718,10.644721621534645
2459967.6994419,0.8262178671002403,314917.84029296885,603023.4315234374,125369.64936279299,10.61634256013729
2459969.7106906,0.9984248880689393,193254.39485839845,523280.68583984376,104956.66461181646,10.992513567283119
2459969.7120108,0.9991943343125058,187604.51874023434,509409.68230468757,102803.71111572266,10.995560002996179
2459969.7131821,0.9998769979254121,190202.30520507816,502917.6818554687,103907.48640380862,10.966703073963366
2459970.6548355,0.5486966076337012,274956.8924121093,550594.2489453125,115521.94639404299,10.6649179019625
2459970.6559014,0.5493178413785245,283966.22515625006,577967.7758203123,119072.78693603519,10.682592594352432
2459970.6569695,0.5499403572134725,268161.18123046885,545114.86484375,112496.02795410156,10.681230539420762
2459976.4716874,0.9389062010861835,48440.13723144531,112259.27865478516,22704.70344238281,10.823542457794423
2459976.473202,0.9397889486547228,48785.67014160157,113843.93288818361,22913.12670166016,10.831044290720287
2459976.4747206,0.940674027543082,40705.55606201171,94851.7903979492,18954.933708496097,10.829479854504003
2459977.4883823,0.5314619104733538,69085.82375244141,141866.69500854495,28808.816726074216,10.692229029304494
2459977.4898904,0.5323408695796843,74508.5764794922,151007.9984277344,30357.52688476562,10.677984464418453
2459977.4914073,0.5332249575890273,74694.30824340822,151596.44238525387,30646.660330810548,10.67950400175344
2459980.6384982,0.36742977230687757,333149.85745117196,602978.7930859375,129619.08143554686,10.555156267736123
2459980.6395489,0.36804214703693106,337364.4694580079,599348.9296679687,131285.4305419922,10.53495123288035
2459980.6405939,0.3686511995681485,304330.2883398438,537368.7325488282,116578.66200439453,10.528318290275989
2459982.4859516,0.44417271641941625,4873.782573242187,10047.8656640625,2022.3124096679687,10.696519425111898
2459982.4874538,0.4450482368968096,7686.883937988283,16750.21028808594,3181.3128051757812,10.75667510142186
2459982.4889598,0.4459259719922102,8597.97165039063,18370.273542480474,3591.7767675781247,10.735299287783954
2459984.4926013,0.6136993230129519,77324.97033325194,145837.1996057129,29606.611311035158,10.599871637438536
2459984.4941038,0.6145750182713527,77443.19231018068,146625.8018896484,29522.01121887207,10.60406813528892
2459984.4956126,0.6154543852906045,77790.40080017092,148420.4928997803,29671.070915527347,10.612419902818777
2459986.6268351,0.8575851958298699,257115.68964843752,543380.8144726563,109235.66847167972,10.723439555653975
2459986.627883,0.8581959386358449,264983.6646289063,548696.1285156251,111149.23457519531,10.70128223672095
2459986.6289315,0.8588070312755463,300117.0096191407,640537.5803125,128260.77574707034,10.734135262767799
2459987.4870844,0.3589604207543289,81358.15447692871,154727.97865295407,31275.78973480225,10.60891966048643
2459987.4885933,0.35983984612448694,81309.76146759032,153568.20685058594,30908.30052581787,10.601396817325295
2459987.4901037,0.36072014594287793,80979.9403656006,155445.3646716309,31177.688586730957,10.619001060378372
