phase,mag
0.2568629052687754,10.628
0.2576089218847528,10.593
0.8345129107573968,10.636
0.8352589273733599,10.601
0.8360049439893373,10.638
0.41692460070962056,10.68
0.41766478902624726,10.702
0.41841080564221045,10.676
0.15864614091597673,10.642
0.15938632923260343,10.632
0.16013234611997973,10.56
0.4835370442892213,10.854
0.48428888920452096,10.798
0.48503490582046993,10.852
0.31503834180833223,10.625
0.31577853012495893,10.641
0.31652454674093633,10.622
0.38287471902148695,10.642
0.38362073563743593,10.657
0.3843609239540626,10.645
0.7181574008669998,10.614
0.7188975894550254,10.613
0.719637777771652,10.516
0.19415197171872478,10.532
0.19489216030675038,10.538
0.19563234862337708,10.625
0.5174925594094191,10.857
0.5182385760253965,10.79
0.5189904209406961,10.861
0.8412586094236758,10.628
0.8419987977403025,10.66
0.8427506426556022,10.659
0.4248942327380405,10.658
0.4256402496254168,10.698
0.4263862662413658,10.695
0.8740098800726344,10.64
0.8747558966885833,10.682
0.8755019133045607,10.689
0.8983208494743167,10.715
0.8990668660902656,10.641
0.8998012261075701,10.614
0.804224661271661,10.643
0.804982334486283,10.636
0.8057283511022604,10.645
0.5269377284410268,10.838
0.5276895733563549,10.855
0.5284239333736309,10.804
0.8133621490187011,10.651
0.8141139939340007,10.623
0.8148541822506274,10.635
0.22319436949462101,10.613
0.22393455781124771,10.63
0.32396489781490345,10.62
0.3247109144308524,10.63
0.3254511027474791,10.603
0.9696892507632526,11.057
0.9704294390798793,10.971
0.9711754556958567,11.087
0.07152052142120624,10.782
0.07226653803715521,10.791
0.07301255465313261,10.763
0.35369614407747463,10.657
0.3544363323941013,10.633
0.355188177309401,10.638
0.6272236248630065,10.656
0.6279638131796332,10.642
0.6287098297956106,10.629
0.7188324656574991,10.54
0.7195668259462025,10.597
0.7203186705901032,10.598
0.3893090879897727,10.664
0.3900609329051008,10.544
0.3908011212217275,10.637
0.3195750056571569,10.625
0.3203210222731343,10.619
0.3210612108611599,10.602
0.268398416576332,10.536
0.26913860516438604,10.574
0.2698904498082868,10.613
0.37500302802516217,10.577
0.37574904464113956,10.676
0.37649506152851586,10.602
0.21384693867634041,10.643
0.21459878332024118,10.617
0.21534480020761748,10.615
0.4326539216952199,10.711
0.4333999383111973,10.717
0.9927200821502424,11.208
0.9934660987662198,11.184
0.9942121153821972,11.195
0.20573180334022823,10.638
0.20647781995620562,10.638
0.20721217997348162,10.629
0.06652459229113106,10.805
0.06726478087915666,10.806
0.06799914089646109,10.708
0.5321263962726732,10.809
0.5328607565613481,10.792
0.5336067731773255,10.809
0.4889050459821078,10.747
0.4896452342987345,11.063
0.130508493223914,10.669
0.1312486815405407,10.666
0.1319946981565181,10.691
0.8088943867931846,10.547
0.809640403409162,10.532
0.8103864200251394,10.634
0.6360639730600894,10.58
0.6368041613767161,10.621
0.6375385216654195,10.636
0.10595537278700817,10.668
0.10669556110363487,10.686
0.10742992112091088,10.683
