HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458708.05960,2019-08-12.5593209,bA,2.04,15.363,10.744,0.006,182.999,1.052,g
2458708.06087,2019-08-12.5605890,bA,2.05,15.368,10.750,0.007,181.821,1.104,g
2458708.06213,2019-08-12.5618552,bA,2.04,15.377,10.756,0.006,180.930,1.080,g
2458708.85230,2019-08-13.3519601,bq,1.53,15.028,10.775,0.006,177.773,0.986,g
2458708.85350,2019-08-13.3531692,bq,1.55,15.025,10.770,0.007,178.521,1.116,g
2458708.85472,2019-08-13.3543859,bq,1.51,15.064,10.767,0.006,179.176,1.016,g
2458713.90730,2019-08-18.4066259,bq,1.49,13.498,10.880,0.025,161.404,3.674,g
2458713.90852,2019-08-18.4078456,bq,1.56,99.990,99.990,99.990,99.990,99.990,g
2458713.90973,2019-08-18.4090614,bq,1.58,13.918,10.883,0.018,160.890,2.693,g
2458721.95607,2019-08-26.4548513,bA,2.08,15.230,10.655,0.007,198.533,1.367,g
2458721.95734,2019-08-26.4561201,bA,2.05,15.059,10.715,0.007,188.033,1.204,g
2458721.95860,2019-08-26.4573863,bA,2.04,14.847,10.656,0.014,198.488,2.506,g
2458724.04167,2019-08-28.5403159,bA,2.03,15.661,11.245,0.006,115.265,0.640,g
2458725.05996,2019-08-29.5585312,bA,2.04,15.436,10.744,0.006,183.008,1.062,g
2458725.06124,2019-08-29.5598200,bA,2.03,15.454,10.771,0.007,178.492,1.065,g
2458725.06253,2019-08-29.5611064,bA,2.04,15.453,10.786,0.006,175.996,0.967,g
2458726.03345,2019-08-30.5319751,bA,1.78,13.649,10.728,0.017,185.675,2.910,g
2458726.03476,2019-08-30.5332747,bA,1.76,13.661,10.752,0.018,181.677,2.950,g
2458726.03605,2019-08-30.5345652,bA,1.75,13.646,10.755,0.017,181.210,2.817,g
2458727.07604,2019-08-31.5744903,bA,2.08,15.455,10.737,0.006,184.138,0.994,g
2458727.07733,2019-08-31.5757862,bA,2.09,15.437,10.718,0.007,187.320,1.155,g
2458727.07863,2019-08-31.5770814,bA,2.07,15.444,10.726,0.007,185.977,1.130,g
