hjd,phase,target flux,comp flux,check flux,mag
2459939.4890274,0.3844690452397117,141437.47339141852,301703.6676672364,54286.023905944836,10.910540547852147
2459940.4601694,0.9504753630569667,46189.073079833994,122424.29085815432,22650.891539306638,11.146321172839462
2459940.4616689,0.9513493099614152,44155.89531860351,119765.66376586915,21568.510327758788,11.171359374293818
2459940.4631676,0.952222790330552,43622.992270507806,117919.88971069339,21342.507512207027,11.167679327830701
2459941.4602302,0.5333362947940259,125022.65990478516,281350.30858337396,51635.725991210944,10.96864695098654
2459941.4617491,0.5342215484633925,136206.36020507812,306085.2949047851,55918.695555419916,10.967112992368856
2459941.4632667,0.5351060443861115,152563.8087359619,342950.6333728028,62052.91172302246,10.967450515010134
2459943.538631,0.7446812718364981,296586.83589599613,616347.9331982421,115062.099609375,10.882185480500478
2459943.5401406,0.7455611051195774,306574.4890527344,634230.3642382815,119634.12945312502,10.877277840611674
2459943.541648,0.7464396563127593,277942.82180908206,576056.9743798828,107499.87263671876,10.879275239225166
2459955.4918489,0.7113214225214506,402860.93491943355,823144.591958008,156375.1353765869,10.863802729949887
2459955.493357,0.7122003816277811,401561.54395751964,818493.335534668,155439.52513305665,10.861157878061993
2459955.4948688,0.7130814972724693,399370.7139990234,815925.0301367186,156045.4879260254,10.863685401194987
2459966.4726695,0.1112236346048121,361984.1836035156,780825.8141967775,147437.3306011963,10.922661716725077
2459966.4741776,0.11210259371091524,359418.7195654296,777153.7856323243,146059.1779724121,10.925265983015976
2459966.4756981,0.11298877990839173,357415.7419934083,773347.8197607422,145031.40585998533,10.926003269717297
2459976.4625836,0.9336002745083078,246589.45910156253,614872.9163476562,118044.10528320311,11.080027437234419
2459976.4640961,0.9344817980661446,264432.7277734375,656754.1629003907,127362.71740234374,11.075719370711937
2459976.4656049,0.9353611650853964,259107.27294921878,649111.7182177734,124328.38704101562,11.08509991231556
2459977.4792641,0.5261475911445359,344967.55543457036,788903.5823535157,148127.5558154297,10.986114490117009
2459977.4807744,0.5270278323409912,348583.3512890625,801343.3459423828,149070.55749023438,10.991780282934664
2459977.4822796,0.527905101443821,348839.1416601562,801472.3916210937,150364.17809570313,10.99115869145169
2459982.4768693,0.4388793203459045,18252.150034179685,42768.582900390626,7899.573740234376,11.012527373734871
2459982.4783754,0.4397571137922114,19835.40203613281,44357.00446777343,8697.968872070314,10.96180330279246
2459982.4798886,0.44063904526319675,32098.92642089843,72990.01928710939,13379.773408203124,10.97993272543077
2459984.4834947,0.6083917642399683,376273.2008764649,782635.5062988282,150323.2210894776,10.883140945136494
2459984.4850028,0.6092707233460715,380277.3511071778,773645.9293457031,151460.53033447269,10.859104759257317
2459984.4865138,0.6101513727269321,381110.3874133301,772876.4162036134,152536.1155358887,10.855648471011913
2459987.4779894,0.3536596228086637,399440.33445922844,824957.8254479981,159660.0994812012,10.875449872214977
2459987.4795026,0.35454155455090586,399123.2063452148,827642.6658984373,159336.03473754885,10.879840025285757
2459987.4810056,0.35541754129212677,396066.60554443346,834289.7097851562,156871.0902520752,10.896871949258495
